"","CS","TS","Y1","Y2","Y3","Z_1_1","Z_2_1","Z_1_2","Z_2_2","Z_1_3","Z_2_3","U_1_1","U_1_2","U_1_3"
"1","cs_1",1,0.219415304495027,0.0903597547103995,0.690224940794574,-0.571984521026377,0.404485099301782,1.15116989596406,0.0468857782615186,0.188838934550794,-3.61875315321915,1.57601058434616,-55.2227348168648,3.12898253070759
"2","cs_1",2,0.322647546101275,0.335131519629125,0.3422209342696,-0.556950226980984,0.333014070352373,1.19196299151014,0.0480320394645642,0.202321049876313,-3.64050383207152,1.56546167244156,-55.2830796327921,3.08514944725683
"3","cs_1",3,0.185875430256726,0.104744046310703,0.70938052343257,-0.474722397208049,0.349595493893786,1.21506751259281,0.0454927990236011,0.140826112210159,-3.56192252951841,1.79052143142659,-55.2535034356651,3.07854095255277
"4","cs_1",4,0.322790100604256,0.402164911744847,0.275044987650897,-0.623728708282539,0.292207040999649,1.28488449107878,0.0142092678878735,0.206851927647513,-3.69588849077737,1.60762655527145,-55.2502025501775,3.06755446539067
"5","cs_1",5,0.490564430665989,0.396288260115491,0.11314730921852,-0.58275874505721,0.387753773466299,1.26898654217342,-0.0455769383853704,0.162712867566965,-3.56852430511797,1.6433808142565,-55.2434068881239,3.1794065117448
"6","cs_1",6,0.327140675786787,0.442002199441771,0.230857124771441,-0.542484955199344,0.346588256124028,1.18202838830401,0.0898056489414375,0.084812131541626,-3.57493197571094,1.66029791838116,-55.3178652792759,3.08515149603645
"7","cs_1",7,0.141210434665019,0.409908432890509,0.448881132444473,-0.554941510754957,0.298757626856622,1.23697800897701,-0.0887663776496579,0.115944633696318,-3.54795060509648,1.60428040339403,-55.2078014909569,3.06342101799466
"8","cs_1",8,0.37026054513607,0.381861397267874,0.247878057596056,-0.471129989712059,0.351442207505788,1.14990673772169,0.0038057125925725,0.18427744882129,-3.56051064095492,1.65431253689515,-55.3081933886314,2.9459398293198
"9","cs_1",9,0.3500799741673,0.354300911799063,0.295619114033637,-0.658806504383694,0.36161747867251,1.26139758054254,0.00875060058626743,0.163389313680509,-3.55578083399682,1.64691766104872,-55.2944347600492,2.99307163117813
"10","cs_1",10,0.447498567740506,0.240321062043316,0.312180370216178,-0.584115216938609,0.273158498294983,1.24931798392684,0.0617950322614198,0.226379073631884,-3.50065085493192,1.61770040929738,-55.218943038281,3.06745205939913
"11","cs_1",11,0.11061286062604,0.0787110999221255,0.810676039451835,-0.571374392285127,0.275249461178964,1.30166135176896,0.0166456000357767,0.155933594478704,-3.71141581022132,1.63173408635573,-55.2244413563594,3.08165042167182
"12","cs_1",12,0.170862197655026,0.44805359653,0.381084205814974,-0.59692020801677,0.295297720201863,1.21550951501677,-0.0738171045850849,0.158929647445857,-3.5886851952822,1.62676607199254,-55.3436451452872,3.08517934237274
"13","cs_1",13,0.495845045516676,0.28792419014151,0.216230764341813,-0.644810312089333,0.368439035819052,1.2230749900302,-0.0147477395227496,0.149586079858938,-3.57054882466585,1.73489202963028,-55.3327991016875,3.11241105845209
"14","cs_1",14,0.308468261354623,0.394725442631229,0.296806296014148,-0.552806990660387,0.269642836743728,1.16940813118561,0.00484945181965154,0.207887245441871,-3.62486237721309,1.59140262986583,-55.3570495046352,3.06162809896364
"15","cs_1",15,0.154385638410499,0.540916960105261,0.30469740148424,-0.497784900498716,0.347872894668166,1.26885576896299,-0.0857926610624006,0.142648580858352,-3.57907114526469,1.57366962132573,-55.2800531920357,3.13206515915379
"16","cs_1",16,0.383145439462806,0.22082673615406,0.396027824383135,-0.575229220701826,0.371305966646577,1.19674464596554,0.0196766275511639,0.129842160141701,-3.59439988653029,1.63035885463802,-55.2809035082707,3.02525991728618
"17","cs_1",17,0.340390179205574,0.107821005418912,0.551788815375514,-0.516568972175561,0.3676287376762,1.17344823182306,0.0305399104969898,0.0592679672718925,-3.65495824177458,1.64399347215162,-55.2709398172989,3.01091358340751
"18","cs_1",18,0.389830859720432,0.363055533866649,0.247113606412919,-0.526043633847208,0.354245566271205,1.2386801063566,0.012192955408229,0.0909655734359513,-3.64164444054106,1.65029560862498,-55.2615376659557,3.00988641055197
"19","cs_1",19,0.254436851421475,0.393197169508994,0.352365979069531,-0.563571232081049,0.31125155040733,1.09481370063781,0.14241767066536,0.122688120819624,-3.57984799857738,1.60555116804391,-55.3192401939659,3.10845057063899
"20","cs_1",20,0.275890723452259,0.200809923061506,0.523299353486235,-0.579499196602832,0.2918143346483,1.2078436474524,0.0464044274514121,0.20645899734229,-3.63533243215908,1.57530312798091,-55.3388304812216,3.0671897223127
"21","cs_1",21,0.139546368694909,0.130749663098198,0.729703968206893,-0.570871510453193,0.263279866015913,1.23179693487764,0.0650784251129461,0.107511398097257,-3.65104769865418,1.69162869348394,-55.2378062988629,3.11082661552069
